Actual,Predicted
INFJ,INFP
ENFP,ENFP
INFP,INFP
ENTP,ENTP
ESFP,ESTP
ENFP,ENFP
ESTJ,ENTP
INTJ,INTJ
ESFJ,ESFJ
INFP,INFP
INFJ,ISFP
INFP,INFP
ENTP,ENTP
ISFJ,ISFJ
ENTP,INTP
ESTP,ESTP
ISTP,ISTP
ESTP,ESTP
ENTP,ENTP
INTP,ENTP
INFP,ENFP
INFJ,INFJ
ISFP,ENFP
ENFJ,ENFJ
INFJ,INFJ
INTP,INTP
ESTJ,ENTJ
ESFP,ESTP
ENTJ,ENTJ
ESTJ,ESTJ
ENFJ,ENFJ
INFP,INFJ
ISFP,INFP
ENFP,ENFP
ESTJ,ESTJ
ENTJ,ENTJ
ESTP,INTP
ENFJ,ENFJ
ISFP,ISFP
INFP,INFP
ENTJ,ENTJ
ESFP,ENTP
ISTJ,ISFJ
ENTP,ENTP
ISTJ,ISTJ
ISFJ,ENFP
ESTP,ESTP
ENTJ,ENTJ
INFP,INFP
INTP,INFP
ENFP,ENFP
ENTJ,INTJ
ISFP,ISFP
ESTP,ESTP
ENFP,ENFP
ESFJ,ESFJ
ISTP,ISTP
ISTP,ISTP
ISFP,ISFP
ENTP,ENTP
ENFJ,ENFP
INTJ,INTJ
ESFJ,ESFJ
ISFJ,ISFJ
ENFJ,ENFJ
ISTP,ISTP
ESTJ,ESTJ
ENFP,ENFP
INTJ,INTJ
ESFP,ESTP
INTJ,ENTP
ISFJ,ISFJ
ESFJ,INFP
ISFJ,ISFJ
ISFP,ISFP
ESFJ,INTP
ESTJ,ESTJ
ESTP,ESTP
ISFP,ISTP
ESFP,ESFP
ENFJ,ENFJ
ESTJ,ESTJ
ISTJ,ISTJ
INTP,INTP
INTJ,INTJ
ISFJ,ISFJ
ENFJ,ENFJ
ENFJ,ENFJ
ISTJ,ISTJ
ISTJ,INTJ
ESTJ,ESTJ
ESFP,ESTP
ENFP,ENFP
ENTJ,ENTJ
ESFJ,ESFJ
ESFJ,ISFP
ENTP,ENTP
INTP,INTP
ESFJ,ESFJ
INTP,INTP
ISFJ,ISFJ
ISTP,ENFP
INFJ,INFJ
ENTJ,ENTJ
ISTJ,INFJ
ISTP,ISTP
INFP,INFP
ESFP,ISFP
ESFJ,ESFJ
ENFJ,ENFJ
ESTP,ESTP
INTJ,INTJ
INTP,INFP
ENTJ,ENTJ
ESTP,ESTP
ISFP,ISFP
ENFP,ENFP
ESFP,ESFP
ESTJ,ENTP
ISFJ,ISFJ
INTJ,INFJ
INTJ,INTJ
ISTJ,ENFJ
ESTJ,ESTJ
ENTP,ENTP
ESFJ,ESFJ
ISTP,ISTP
ISTJ,ISTJ
ESTP,ESTP
INTJ,ENFP
ENFJ,ENFJ
ESFP,ENFP
INFJ,INFP
ESTP,ESTP
INTJ,INTJ
ENTJ,ENTP
INFJ,INFP
INTP,INTP
ENFJ,ENFJ
INTP,INTP
ISTJ,ENTJ
ISFJ,ISFJ
ESTP,ESTP
ISFP,ISFP
ENFJ,ENFJ
ENTJ,ENTJ
ENTJ,ESFP
INFP,INFP
ENTJ,ENTJ
ESFP,ESFP
ISTJ,ISTJ
INFP,INFP
ISTP,INTP
INTP,INTP
ENFP,ENFP
ISFP,ISFP
ESTP,ESTP
ESFP,ESFP
ENFJ,INFJ
ISTP,ISTJ
ENTP,ENTP
INFJ,INFJ
ENTJ,ENTJ
ESFP,INTP
INTP,INTP
ESTP,ISTP
ENFP,ENFP
INFJ,ISTJ
ESFJ,ESFJ
INFP,INFP
INTP,INTP
ISTP,ENTJ
ENFP,ENFP
INTP,ENFP
ENFP,ENFP
ENFP,ENFP
ENTJ,ENTJ
ESFP,ESFP
ESTP,INFJ
ENTP,ENTP
INTP,INTP
ESFJ,ENFJ
ENTP,ESTP
INFP,INFP
ISFP,INFP
ESFP,ESTP
ISFP,ISFP
ISFP,ENTP
ENFJ,ENFJ
INFJ,INFJ
ISFJ,ISFJ
ESTJ,ESTJ
ESFJ,ISFJ
ENTP,ENTP
INFJ,INFJ
ISTJ,ISTJ
ESTJ,ISTJ
ESFP,ESFP
ISFJ,ISFJ
ENFJ,ENFJ
ENFP,ENFP
ISTP,ISFJ
ISTP,ISTP
ESFJ,ESFJ
ISTJ,ISTJ
ISFP,ENFP
ESTJ,ISTJ
ISFJ,ISFJ
ENFP,ENFP
INFJ,INFJ
ENTP,ENTP
INTP,INTJ
ESTP,ESTP
INFJ,INFJ
ISTJ,ISTJ
ENTP,ENTP
ISFP,ISFP
INFP,INFP
INFJ,INTJ
ISFJ,ISFJ
INTJ,INTJ
INTJ,INTP
ESTJ,ESTJ
ISFJ,ISFJ
INFP,INFP
ISTP,ISTP
INFP,INFP
ESFJ,ENFP
ESTJ,ENFP
INTJ,INFP
ISTJ,ISTJ
ISFJ,ISFJ
ISTJ,ISTJ
ISTP,INTP
ISTP,ISTP
ENTP,ENTP
INTJ,INTJ
INTJ,INTJ
INFJ,INFP
ENTJ,ENTJ
